pheno_name	heritability	experimental	residuals	ratio_test_p	residuals_norm_p	het_test_p
OTU-B_1294	12	26	62	0.311794320482081	0.182817678768826	0.556761741358941
OTU-B_1181	14	42	44	0.0583578308901208	0.254686828582939	0.973542849684228
OTU-B_1265	5	38	57	0.693988897767884	0.400589597938398	0.666680904839338
OTU-B_1375	25	34	41	0.000901616160742682	0.521274185879796	0.801152465765233
OTU-B_492	10	39	51	0.258528940030237	0.295237939216023	0.711159817012742
OTU-B_3675	9	18	73	0.495344113893037	9.75269393278458e-07	0.969499568156285
OTU-B_959	13	12	75	0.363941984311019	0.315891446365887	0.66363161787688
OTU-B_3265	38	14	48	3.58461818085585e-05	4.47795709853558e-09	0.695736647214211
OTU-B_692	6	40	54	0.652528661214326	0.304218425166448	0.783708539390428
OTU-B_103	0	24	76	1	0.61677395737578	0.805114489691359
OTU-B_1271	0	43	57	1	0.212866895589594	0.921540458458916
OTU-B_3126	16	28	56	0.0705837393248517	6.50679443387909e-08	0.297646214982804
OTU-B_2606	6	21	73	0.722482787231256	2.46793584393039e-08	0.365650736468802
OTU-B_2392	6	9	85	0.795210986894965	0.000756415959778663	0.503213644226471
OTU-B_1153	7	13	80	0.767689262117157	0.0025434495469335	0.728232452644993
OTU-B_53	2	34	64	1	0.896574998402219	0.826834624728016
OTU-B_1130	1	4	95	1	0.000904730639736613	0.169906667838664
OTU-B_2343	22	17	61	0.0277399240234778	3.48972224160112e-06	0.455716839855265
OTU-B_466	12	34	54	0.181815235875188	0.0085535631608167	0.793638745610232
OTU-B_2479	0	11	89	1	0.0134955772788714	0.850303833062382
OTU-B_548	0	18	82	1	0.0175433143921738	0.687552695986357
OTU-B_1927	12	3	85	0.420761511961631	0.0766219639050034	0.688815166975829
OTU-B_2066	5	26	69	0.834576244338545	0.00014359988974421	0.644622916685219
OTU-B_3774	13	28	59	0.188946821236341	1.06538519950486e-08	0.508349591529851
OTU-B_3777	8	50	42	0.254006602833325	4.03204209197002e-10	0.473192815370071
OTU-B_451	6	45	49	0.592102218624217	1.82006247684167e-07	0.583343616258038
OTU-B_1123	5	69	26	0.206059636806241	0.000166782136373126	0.478296106434017
OTU-B_2572	0	14	86	1	7.10459116732907e-17	0.398862734655475
OTU-B_1260	13	28	59	0.180854333423444	0.196021581170301	0.964507881979841
OTU-B_1377	12	10	78	0.388664353035396	0.860118017395457	0.740692117884618
OTU-B_1646	5	8	87	0.953468490643147	0.202038116472714	0.909433179671624
OTU-B_2433	4	11	85	1	0.00114980700774334	0.738490664957526
OTU-B_712	5	30	65	0.857291000183119	0.000781273425884381	0.275120041212827
OTU-B_1237	0	26	74	1	0.744548282991132	0.975569017605453
OTU-B_1717	1	0	99	1	0.0337213120653154	0.913345322919256
OTU-B_3045	9	13	78	0.529133406803437	0.000215309654780366	0.782238306612079
OTU-B_1626	19	36	45	0.0209915076912653	0.0906385413149969	0.360717255220888
OTU-B_3457	13	18	69	0.24248436296397	9.02450575294189e-06	0.849576688860086
OTU-B_3	13	44	43	0.11347353984133	0.436699182480272	0.967526883227703
OTU-B_85	3	30	67	1	0.645494408095944	0.820897863941948
OTU-B_387	5	68	27	0.273460514712968	0.396272447815957	0.727637839160234
OTU-B_367	14	49	37	0.0316296356748032	0.582883604517848	0.685613791911782
OTU-B_9	11	48	41	0.127139072863393	0.026122766598934	0.874234916307055
OTU-B_16	12	27	61	0.267073589010191	0.246632598301518	0.98316271206395
OTU-B_25	0	49	51	1	0.828806731767103	0.917343876961552
OTU-B_155	14	35	51	0.0859792224284573	0.494315506284189	0.920823836265628
OTU-B_1078	3	43	54	0.934941019331503	0.0113351307653851	0.624832778593563
OTU-B_2025	10	28	62	0.38673420254334	0.00160225803130838	0.662422016141735
OTU-B_2239	20	5	75	0.111398410190114	5.15273307027458e-07	0.378313589692165
OTU-B_2468	14	40	46	0.0586039693809043	8.38003927050453e-10	0.142872061413825
OTU-B_1001	8	44	48	0.458296504053565	0.137481978344317	0.820126248039429
OTU-B_77	11	40	49	0.134327936329641	0.558759411386783	0.762656370193803
OTU-B_911	9	33	58	0.380545166960052	0.380528932667532	0.594959138336179
OTU-B_135	11	7	82	0.403404131520434	0.0800131744491488	0.767535127879741
OTU-B_2154	6	75	19	0.0740136636718683	1.33856230318226e-07	0.620061584322888
OTU-B_3529	0	50	50	1	1.95456790279116e-05	0.613816068065702
OTU-B_3159	2	27	71	1	7.16003040540839e-07	0.799225929916515
OTU-B_2422	0	24	76	1	1.94250552569295e-06	0.639140379533782
OTU-B_2444	21	5	74	0.105968762989428	0.370099213806576	0.894432268920005
OTU-B_228	7	22	71	0.618749311678924	0.845136534631994	0.943575880971984
OTU-B_96	10	15	75	0.41623194480684	5.20746147653032e-05	0.754122489912118
OTU-B_1505	0	0	100	1	0.0820750755278593	1
OTU-B_520	5	12	83	0.894958324413037	1.76348799263651e-10	0.838584765378816
OTU-B_3071	15	1	84	0.267551435314678	0.00162993393157761	0.42476015826375
OTU-B_1039	0	16	84	1	1.56749325070769e-06	0.7713416244112
OTU-B_1651	13	0	87	0.380545166960052	0.000455407388592174	0.770091190507536
OTU-B_2287	18	17	65	0.0924323715226307	0.0175830343236958	0.685468935753494
OTU-B_900	9	58	33	0.111638964452214	0.283608826212502	0.716050791491305
OTU-B_676	0	31	69	1	0.00195533663826815	0.895474587186101
OTU-B_3766	6	28	66	0.679551929897226	2.62607115713402e-05	0.945684321940516
OTU-B_3124	0	13	87	1	1.20155026383778e-08	0.968117512889493
OTU-B_3588	7	71	22	0.0575369027391417	2.8448360746297e-08	0.899450980950115
OTU-B_1100	3	24	73	1	0.000888887623977978	0.741392745113524
OTU-B_3048	2	25	73	1	3.62274248816571e-06	0.945206359352495
OTU-B_2060	0	8	92	1	0.00365232797144429	0.825841940538437
OTU-B_2387	1	32	67	1	0.00217224121836458	0.705830997907485
OTU-B_19	19	9	72	0.102112406960395	0.122182600871052	0.922390521623611
OTU-B_956	7	10	83	0.73412518168761	9.69685714392066e-06	0.429166287514108
OTU-B_115	13	14	73	0.289806317987262	0.00129399297937769	0.948079130052935
OTU-B_308	2	13	85	1	5.01427470779624e-07	0.317392389062008
OTU-B_2973	0	5	95	1	5.22456844950091e-08	0.981623584149377
OTU-B_840	14	13	73	0.397660734822997	2.83326598505418e-14	0.0739812138648154
OTU-B_2110	22	5	73	0.069265642885469	0.013562687728475	0.880022031371523
OTU-B_648	0	13	87	1	2.69230988636455e-07	0.252365033555614
OTU-B_1757	0	6	94	1	7.20056048890586e-07	0.490119289730344
OTU-B_2948	6	16	78	0.782843542946684	0.000385400022442468	0.747878805952087
OTU-B_494	0	12	88	1	1.99548564927483e-08	0.892767428563457
OTU-B_1341	14	0	86	0.345950631155678	0.000135827768454597	0.7643647464721
OTU-B_2004	1	5	94	1	0.00300116367510969	0.849294315195031
OTU-B_2741	1	6	93	1	2.20357966576985e-05	0.932183696057493
OTU-B_3608	21	28	51	0.0183867982856564	8.98442106824145e-10	0.463278911105206
OTU-B_2657	10	8	82	0.520103333148692	1.93734219475011e-05	0.553884775038841
OTU-B_1483	5	5	90	0.927002929107724	0.00121954472146269	0.964972168467885
OTU-B_143	9	9	82	0.680272195142705	0.0427429573703302	0.504763408536009
OTU-B_1199	1	5	94	1	0.00593271372720422	0.824318139706571
OTU-B_2778	21	12	67	0.0521665956330209	0.000398638852881981	0.604858782092846
OTU-B_3433	11	17	72	0.380545166960052	4.84855901048709e-14	0.276402622573443
OTU-B_344	13	18	69	0.247209928876048	6.9996460877015e-16	0.159374550808809
OTU-B_2238	0	6	94	1	9.40686931061563e-05	0.76098301810385
OTU-B_2294	4	2	94	1	1.21366157083295e-09	0.0354983498826915
OTU-B_11	0	21	79	1	0.00365411413526775	0.739428083538188
OTU-B_1053	0	9	91	1	0.150564574462393	0.771173447772519
OTU-B_2556	1	19	80	1	1.4457941674651e-06	0.573664859677473
OTU-B_3724	15	24	61	0.128802629909884	6.11666225530784e-11	0.448148334149696
OTU-B_335	2	24	74	1	0.000431154561558239	0.534007794077671
OTU-B_1026	0	8	92	1	2.49505452840752e-06	0.536870237542526
OTU-B_68	18	19	63	0.117108696954996	0.185688127931538	0.879053890340774
OTU-B_636	9	3	88	0.62074012745288	2.58096210817592e-09	0.28709044582054
OTU-B_383	8	4	88	0.758882159793492	0.0233251474861832	0.888964907261274
OTU-B_455	0	3	97	1	0.00023174893230801	0.79739029601599
OTU-B_181	0	35	65	1	0.0677547468364679	0.901390626440982
OTU-B_1275	0	0	100	1	0.0111246885826156	1
OTU-B_693	0	16	84	1	0.00038292055175812	0.251705894931897
OTU-B_3641	10	7	83	0.51571263967826	3.44275855077673e-10	0.731652124339062
OTU-B_933	16	1	83	0.278970737345268	4.67484798253152e-05	0.595060064908776
OTU-B_3193	0	7	93	1	1.5205182793042e-07	0.658122348863056
OTU-B_2101	0	0	100	1	2.53518604515666e-06	1
OTU-B_3410	9	5	86	0.640456674290297	1.03524030661551e-08	0.944617626584784
OTU-B_1969	0	8	92	1	0.00472328660286691	0.209941364307965
OTU-B_44	11	44	45	0.111638964452214	0.185061900383952	0.95245885654238
OTU-B_829	24	6	70	0.0386157099213457	0.000931043464234751	0.607735367961367
OTU-B_2001	0	7	93	1	0.0401962059648694	0.862820707079245
OTU-B_247	2	42	56	1	6.08659068853913e-15	0.000804437633474132
OTU-B_1459	30	3	67	0.00638788380161451	0.00443762821148561	0.940075441672389
OTU-B_981	11	7	82	0.515904109899962	0.0193636782146823	0.528284543720954
OTU-B_773	0	9	91	1	8.68306648914332e-06	0.0611958745637331
OTU-B_2171	0	0	100	1	0.00620210662830665	1
OTU-B_2540	0	6	94	1	0.000120486128565386	0.895199097865335
OTU-B_1884	0	4	96	1	3.61506244049508e-08	0.298595651566389
OTU-B_97	0	8	92	1	1.76317322138497e-11	0.18240168445642
OTU-B_2790	3	12	85	1	7.94967983896177e-08	0.466111695225194
OTU-B_1215	0	24	76	1	0.114918552143185	0.583163143817196
OTU-B_562	0	6	94	1	2.95903230340168e-10	0.481832820530305
OTU-B_741	13	2	85	0.380545166960052	1.82385356056721e-08	0.363598486169223
OTU-B_64	8	20	72	0.618749311678924	0.12533093135934	0.926392442650546
OTU-B_1497	4	49	47	0.766568981886009	1.00711746990164e-11	0.0601007677431064
OTU-B_2960	0	7	93	1	1.87629370042862e-11	0.921092263451998
OTU-B_1021	3	34	63	0.998172304971074	3.12782170123116e-06	0.496877018983771
OTU-B_1926	0	1	99	1	2.44331124871659e-07	0.98090763882116
OTU-B_3144	2	9	89	1	0.000768162927103959	0.653806037414439
OTU-B_3089	0	16	84	1	7.9087768500851e-12	0.919118604584847
OTU-B_2837	2	10	88	1	1.12065753363749e-07	0.750333295134159
OTU-B_3509	4	14	82	1	7.51993153049248e-12	0.941503646447657
OTU-B_2234	0	6	94	1	0.00185110847374047	0.640259680932244
OTU-B_2651	0	10	90	1	0.00576042631933112	0.905410561234957
OTU-B_401	28	0	72	0.0245389901965406	1.87004120645992e-13	0.0172252089479147
OTU-B_745	0	32	68	1	0.00342608703716035	0.0486070049800263
OTU-B_1093	0	0	100	1	4.38626440130355e-06	0.514516492705702
OTU-B_2447	6	9	85	0.837163807376921	7.18079328826797e-06	0.459305805016719
OTU-B_1096	0	15	85	1	0.367914473562407	0.243736491722574
OTU-B_412	10	16	74	0.521632814322564	1.87306210410644e-13	0.190683496273315
OTU-B_2964	2	7	91	1	2.48739674250464e-05	0.614916866279594
OTU-B_779	0	3	97	1	3.41235206129297e-13	0.0652321877330236
OTU-B_1295	13	1	86	0.380545166960052	0.113826508994055	0.625647514282397
OTU-B_24	35	7	58	0.00062169274410114	0.544979109705048	0.875166940224358
OTU-B_3243	10	24	66	0.406219368697786	1.1508015716957e-15	0.25374763752194
OTU-B_83	10	67	23	0.0207932735767202	0.000296985013145401	0.11044420430202
OTU-B_665	27	46	27	2.93322477192516e-06	6.53970703081304e-05	0.457111799512948
OTU-B_659	22	0	78	0.0718497993586333	8.05375471019183e-10	0.116253865764955
OTU-B_1034	4	72	24	0.348157409496353	3.15808418387199e-06	0.850413210367225
OTU-B_1147	0	61	39	1	0.000155731197725814	0.794774076271891
OTU-B_3073	0	2	98	1	0.0121095126608088	0.506479717302056
OTU-B_572	0	0	100	1	6.11129973836918e-13	1
OTU-B_159	17	13	70	0.173513480077748	0.824913813599998	0.951597683129627
OTU-B_330	0	41	59	1	2.0252211252879e-10	3.84452278222577e-05
OTU-B_49	19	12	69	0.0875999981049554	0.171231752483052	0.616356795864942
OTU-B_3427	9	13	78	0.571905042662262	2.99649160763834e-15	0.443093807555424
OTU-B_111	0	12	88	1	0.526064214019143	0.933634926401959
OTU-B_507	20	58	22	3.59449726878405e-05	2.04491000990021e-09	0.640778992749505
OTU-B_1120	0	4	96	1	0.000113339445062488	0.797894713951149
OTU-B_1186	17	17	66	0.14595041861033	7.75523751939073e-05	0.316602411955332
OTU-B_50	6	17	77	0.768773826783775	0.000382911807619621	0.673261972961653
OTU-B_884	3	72	25	0.630701801989194	1.53234775397637e-05	0.558451596769529
OTU-B_1791	16	33	51	0.0789865843490547	0.01727074442496	0.7605387651433
OTU-B_1242	0	38	62	1	7.31913988903456e-05	0.343692755323566
OTU-B_306	2	10	88	1	0.000312707830705516	0.71293575889103
OTU-B_1653	16	1	83	0.291578695058736	0.224155914194783	0.832893816973986
OTU-B_410	11	9	80	0.461989081177157	2.59883510549855e-10	0.138424362905857
OTU-B_448	0	15	85	1	8.46104365136111e-11	0.0100737494970352
OTU-B_1027	0	18	82	1	0.26884660980239	0.22163113645775
OTU-B_1565	14	5	81	0.35066278030499	0.188440043484943	0.260153947471747
OTU-B_1113	24	44	32	0.00038921908460031	3.55053780729453e-09	0.880791616668168
OTU-B_2495	0	1	99	1	1.72523144685122e-09	0.656569925603122
OTU-B_564	0	68	32	1	0.000272524033651547	0.066207573433557
OTU-B_176	8	26	66	0.495344113893037	0.359155375463187	0.995793170121111
OTU-B_2000	19	2	79	0.155637390266491	9.615675446198e-08	0.0727803361404413
OTU-B_1479	0	32	68	1	0.000394909938110425	0.157466431551741
OTU-B_1447	13	4	83	0.432094159470516	0.0138881544511798	0.545843352790283
OTU-B_120	15	33	52	0.0635195013606415	3.04965181778554e-12	0.159666813988493
OTU-B_2487	1	0	99	1	3.99431160558572e-05	0.558317499465526
OTU-B_968	2	64	34	0.94686278534971	0.00083034143002927	0.788152638541258
OTU-B_498	16	79	5	5.70614499031795e-18	0.00188935017155777	0.815081078559163
OTU-B_2803	10	3	87	0.567201302935949	1.84782698791778e-07	0.334934344781199
OTU-B_2139	5	5	90	0.972318708090183	4.80388399363884e-11	0.0594651330054139
OTU-B_2152	1	2	97	1	0.00211444971750913	0.904104216663207
OTU-B_177	4	11	85	0.970222081744785	0.482565802219735	0.86952997228373
OTU-B_3059	2	12	86	1	9.65153822898439e-09	0.947225701424589
OTU-B_260	1	77	22	0.954865583746963	2.31767010536299e-11	0.0375443378271602
OTU-B_408	18	16	66	0.102112406960395	3.08005479520688e-14	0.0331285402321992
OTU-B_2901	15	10	75	0.273460514712968	0.000213286738278394	0.7712560338154
OTU-B_3058	1	10	89	1	9.73457247400473e-08	0.981757729047677
OTU-B_2607	0	0	100	1	1.00099576171611e-05	1
OTU-B_1203	21	34	45	0.0097948860078808	0.000257396142416344	0.89829344427676
OTU-B_2851	22	10	68	0.0393437988808125	1.05130614237358e-08	0.317902651984207
OTU-B_3530	9	14	77	0.502727431991152	2.63967131721108e-07	0.928382272150476
OTU-B_3518	5	7	88	0.887594212040666	8.61465004438483e-10	0.806814717370056
OTU-B_1141	0	28	72	1	0.0513025678382263	0.501073238119504
OTU-B_3763	15	16	69	0.154971974797805	1.01126105881546e-11	0.743470690671484
OTU-B_2162	0	1	99	1	9.20138477170103e-05	0.606602042177286
OTU-B_1826	5	2	93	0.958440419589934	3.56960049282258e-08	0.120223240357086
OTU-B_1287	0	10	90	1	0.173296354174108	0.934411140686446
OTU-B_3550	13	14	73	0.282581367847992	1.02708704790357e-05	0.727549771578393
OTU-B_762	0	12	88	1	0.0192572721607818	0.302283231714901
OTU-B_3771	8	30	62	0.532749912778098	6.82821893362953e-14	0.348702151998177
OTU-B_1397	1	51	48	1	0.000233618190570774	0.798928516099761
OTU-B_1872	7	20	73	0.67294054725648	3.50159919592407e-05	0.531498592418365
OTU-B_1764	0	0	100	1	1.77615938889791e-07	1
OTU-B_2379	6	0	94	0.894958324413037	4.39020708249253e-05	0.376181704505177
OTU-B_2575	3	1	96	1	4.18541590310778e-08	0.152114054148529
OTU-B_3379	5	18	77	0.878635341852271	2.78982401206842e-11	0.796692021427404
OTU-B_1908	0	14	86	1	0.00538477394789679	0.456832495211999
OTU-B_2794	10	14	76	0.474174326056151	5.85868357195378e-05	0.40346666560745
OTU-B_2896	5	13	82	0.850375192002204	1.79068744530349e-11	0.951092365479843
OTU-B_913	9	52	39	0.139811833844465	0.0482965536557216	0.457444373787579
OTU-B_752	5	37	58	0.700575743315548	0.0136089920541468	0.204359233812351
OTU-B_1533	5	16	79	0.889131927094635	0.106762681924532	0.934852614504162
OTU-B_1522	16	33	51	0.0414708824836835	8.2477702934023e-05	0.735628542498593
OTU-B_753	2	30	68	1	0.0261611607960158	0.574847528341191
OTU-B_789	2	32	66	1	6.13676371983941e-08	0.0129714601309093
OTU-B_60	0	58	42	1	0.0350335317944651	0.595670887388958
OTU-B_517	0	16	84	1	1.40592745070886e-09	0.315124125289453
OTU-B_1818	0	11	89	1	0.116207871175964	0.735617018493787
OTU-B_3087	2	13	85	1	5.01797822927364e-08	0.965947639290733
OTU-B_6	6	39	55	0.5864793256289	0.0694410211513006	0.866260020896253
OTU-B_1190	10	35	55	0.266400610000258	1.26908586307719e-06	0.243760113805564
OTU-B_1082	4	18	78	0.93818135874395	0.00134132733391547	0.252560826023826
OTU-B_3236	8	6	86	0.657865679841262	1.83653779217196e-05	0.923124831496525
OTU-B_3797	4	29	67	0.889131927094635	4.21325150053037e-15	0.617301879874398
OTU-B_99	3	14	83	1	7.50919044167608e-07	0.643227770903999
OTU-B_323	2	10	88	1	1.48299636941752e-08	0.0316607768932372
OTU-B_2571	10	8	82	0.541498888482698	2.78767324396646e-05	0.349001970823498
OTU-B_3356	20	12	68	0.091368216893465	6.01658639847047e-12	0.462902040571656
OTU-B_3252	8	20	72	0.546212501011181	0.000894381182470343	0.907162697311941
OTU-B_33	10	22	68	0.509417022656605	0.844896843106867	0.747506562261058
OTU-B_196	6	44	50	0.538553933386766	5.17742256703485e-11	0.959135075110567
OTU-B_2509	0	9	91	1	0.000294239122019393	0.634067324183224
OTU-B_1176	0	3	97	1	1.72811762258055e-11	0.436963254782317
OTU-B_384	0	37	63	1	0.000249813306976335	0.53694249266518
OTU-B_1778	2	4	94	1	9.56136492030142e-06	0.492027366067442
OTU-B_2508	17	0	83	0.191102210019359	1.02067120033458e-06	0.300456811792133
OTU-B_1140	0	21	79	1	0.0135748168141499	0.162198481432023
OTU-B_886	0	3	97	1	2.82894389950054e-06	0.536192736775053
OTU-B_1745	0	0	100	1	0.000858405822910365	1
OTU-B_1853	0	9	91	1	8.73833901556888e-07	0.731865289665906
OTU-B_3261	0	2	98	1	7.15037047497572e-09	0.671899876837101
OTU-B_202	0	48	52	1	1.37209220779972e-13	6.66173588815903e-07
OTU-B_275	7	39	54	0.483697871263736	3.7836385075177e-09	0.702444986301222
OTU-B_482	1	61	38	1	0.000330382303959692	0.127233324123723
OTU-B_1612	0	17	83	1	0.000928366896920598	0.261852421765364
OTU-B_1099	10	25	65	0.439191448446952	0.00180249411779069	0.11544445913503
OTU-B_2304	0	1	99	1	8.98472115802467e-05	0.905075057329427
OTU-B_2719	1	2	97	1	5.03666449509229e-08	0.665009031098683
OTU-B_1719	0	1	99	1	0.00190759595806469	0.596114874062367
OTU-B_3083	8	1	91	0.692859277017715	4.62979543022818e-13	0.0631746874586815
OTU-B_2018	2	4	94	1	0.000455762330929507	0.597478631947686
OTU-B_3527	3	29	68	1	2.43172288503143e-06	0.876510040232996
OTU-B_3767	9	20	71	0.526455639768429	6.34695378005574e-08	0.671186587272524
OTU-B_73	11	4	85	0.485455413625742	0.00480693152291399	0.780858467360641
OTU-B_674	15	0	85	0.277667866900722	4.53278244186463e-10	0.299303384824281
OTU-B_1445	12	11	77	0.371579387358798	0.259288378283195	0.877927167952802
OTU-B_1573	0	34	66	1	0.0284224048222739	0.637078056469524
OTU-B_3334	33	1	66	0.00356271999707197	1.51880889440471e-07	0.424787167138937
OTU-B_2799	0	2	98	1	3.84871789015282e-06	0.70999312754238
OTU-B_1223	2	22	76	1	0.0057523146964843	0.983686812743169
OTU-B_355	6	2	92	0.889131927094635	8.73380877191913e-12	0.0195279145137198
OTU-B_374	0	3	97	1	1.00557856406931e-10	0.0649127186216995
OTU-B_1852	2	6	92	1	0.0221227352569118	0.726437299228697
OTU-B_962	3	2	95	1	4.94314628756523e-07	0.25306891826347
OTU-B_2026	18	8	74	0.168349548958219	0.0382225602899523	0.724730361098816
OTU-B_3010	0	0	100	1	5.3924402499126e-07	1
